,lemma,hum_winner,hum_0,hum_n,hum_s,hum_r,hum_e,hum_entropy,hum_varentropy,hum_confidence,tri_0,tri_n,tri_e,tri_r,tri_s,tri_winner,tri_entropy,tri_varentropy,tri_confidence,mbert_lemma,mbert_prediction,mbert_entropy,mbert_confidence,mbert_varentropy,mbert_attn_entropy,mbert_attn_sparsity,mbert_tokens,mbert_prob_n,mbert_prob_s,mbert_prob_e,mbert_prob_r,mbert_prob_0,gbert_lemma,gbert_prediction,gbert_entropy,gbert_confidence,gbert_varentropy,gbert_attn_entropy,gbert_attn_sparsity,gbert_tokens,gbert_prob_n,gbert_prob_s,gbert_prob_e,gbert_prob_r,gbert_prob_0,condition,trigram_suffix,frequency,log_frequency
22,Becken,0,1.0,0.0,0.0,0.0,0.0,-0.0,0.0,1.0,0.946153846153846,0.0071794871794871,0.0266666666666666,0.0005128205128205,0.0194871794871794,0,0.3824381568361444,1.643263455247319,0.8352928509378768,Becken,0,1.6963,0.507,0.8645,2.2401,0.5644,['Becken'],0.2439,0.0488,0.1967,0.0036,0.507,Becken,0,0.222,0.9733,1.2329,2.0022,0.561,['Becken'],0.0076,0.0066,0.0118,0.0006,0.9733,real,ken,1950.0,3.2902572693945182
23,Kissen,0,1.0,0.0,0.0,0.0,0.0,-0.0,0.0,1.0,0.9463487332339792,0.0198708395429706,0.0307998012916045,0.0004967709885742,0.0024838549428713,0,0.3692110155655898,1.5269994426781897,0.8409894706134298,Kissen,0,0.8598,0.8503,2.3352,2.6022,0.5066,"['Kiss', '##en']",0.0143,0.0689,0.0535,0.013,0.8503,Kissen,e,1.8214,0.4596,0.9392,2.3726,0.5177,"['Kiss', '##en']",0.0883,0.1229,0.4596,0.0172,0.312,real,sen,2013.0,3.3040594662175993
24,Gupel,0,0.53,0.3547999999999999,0.1106,0.0,0.0046,1.4028887715065113,0.662766679510057,0.3958086925277649,0.43342776203966,0.5127478753541076,0.0113314447592068,0.0,0.0424929178470254,n,1.2837628876389884,0.8143374156871973,0.4471134181692804,Gupel,n,2.1492,0.3417,0.3947,2.3372,0.5677,"['G', '##upe', '##l']",0.3417,0.0588,0.2387,0.206,0.1548,Gupel,n,0.9247,0.8153,1.9304,2.2128,0.5445,"['Gu', '##pel']",0.8153,0.1211,0.0231,0.0402,0.0003,nonce,pel,353.0,2.5490032620257876
25,Maffer,0,0.8065000000000001,0.1429,0.0415,0.0092,0.0,0.9040747719646812,1.6817885479374128,0.6106361889692634,0.7281780902167545,0.247510251903925,0.0005858230814294,0.0,0.023725834797891,0,0.9661834535818096,0.9820987699431272,0.5838874357439223,Maffer,n,1.1604,0.7458,1.8245,1.3258,0.7677,"['Ma', '##ffer']",0.7458,0.1239,0.1135,0.0096,0.0072,Maffer,s,1.7642,0.5477,1.1773,1.6422,0.7113,"['Maf', '##fer']",0.1047,0.5477,0.1466,0.0148,0.1863,nonce,fer,3414.0,3.5333907080175515
26,Morfett,e,0.0323,0.3226,0.2673,0.0,0.3779,1.725841588413266,0.3866744688730714,0.2567204849222571,0.0024875621890547,0.8258706467661692,0.1467661691542288,0.0087064676616915,0.0161691542288557,n,0.8115799709932405,1.695578522727511,0.650471531491327,Morfett,0,0.0001,1.0,0.0011,2.6824,0.4423,"['Mor', '##fet', '##t']",0.0,0.0,0.0,0.0,1.0,Morfett,0,0.0,1.0,0.0,1.609,0.718,"['Mor', '##fe', '##tt']",0.0,0.0,0.0,0.0,1.0,nonce,ett,1608.0,3.2065560440990297
27,Trilit,s,0.0374,0.1682,0.5514,0.0046999999999999,0.2382999999999999,1.6128571426232907,1.0597515927875778,0.3053802371509135,0.0625,0.8671875,0.0390625,0.0,0.03125,n,0.7672671746929799,2.084060305638441,0.6695560140805306,Trilit,n,1.9369,0.5069,1.0757,1.5207,0.7308,"['Tri', '##lit']",0.5069,0.1926,0.0675,0.1012,0.1319,Trilit,e,1.5743,0.5757,1.3812,1.38,0.753,"['Tri', '##lit']",0.1013,0.2719,0.5757,0.0269,0.0241,nonce,lit,128.0,2.110589710299249
28,Knidoka,s,0.1546,0.2271,0.6184000000000001,0.0,0.0,1.330864898863963,0.6864819886841456,0.4268276860965739,0.0,1.0,0.0,0.0,0.0,n,-0.0,0.0,1.0,Knidoka,0,1.6859,0.5559,1.3638,2.0107,0.6267,"['K', '##ni', '##dok', '##a']",0.2634,0.0866,0.0672,0.027,0.5559,Knidoka,0,0.9337,0.8338,2.3984,2.1034,0.5516,"['Kn', '##ido', '##ka']",0.0215,0.0895,0.0333,0.0219,0.8338,nonce,oka,105.0,2.0253058652647704
29,Grimzo,s,0.0758,0.1848,0.7345999999999999,0.0,0.0046999999999999,1.0954877811960777,1.3727752637008428,0.5281990929830149,0.2,0.2,0.2,0.2,0.2,0,2.321928094887362,0.0,0.0,Grimzo,e,1.1922,0.7698,2.3428,1.5712,0.7139,"['G', '##rim', '##zo']",0.1067,0.0461,0.7698,0.0551,0.0222,Grimzo,s,1.4858,0.6242,1.6405,1.6983,0.6962,"['Gri', '##mz', '##o']",0.0326,0.6242,0.0601,0.0311,0.252,nonce,mzo,0.0,0.0
30,Trichel,0,0.6221,0.2535,0.1198,0.0,0.0046,1.330376865742827,0.9155897707745984,0.4270378705214107,0.024390243902439,0.9658536585365852,0.0048780487804878,0.0048780487804878,0.0,n,0.2540057031630094,1.2133498565163108,0.8906056980307431,Trichel,0,0.0043,0.9997,0.0523,2.7142,0.4403,"['Tri', '##chel']",0.0001,0.0,0.0001,0.0,0.9997,Trichel,0,0.0,1.0,0.0,1.4844,0.7291,"['Tri', '##che', '##l']",0.0,0.0,0.0,0.0,1.0,nonce,hel,205.0,2.3138672203691533
31,Pflechter,0,0.8894,0.0691,0.0369,0.0,0.0046,0.6281537642018986,1.7712869025390583,0.7294688988926805,0.6148019439089947,0.3235685390818016,0.0508239893573697,0.0060272038660983,0.0047783237857356,0,1.2579380880311273,1.1285953228568526,0.4582355539773292,Pflechter,0,2.0657,0.3646,0.5734,1.7396,0.6868,"['P', '##f', '##lech', '##ter']",0.2977,0.0461,0.1431,0.1486,0.3646,Pflechter,n,2.1206,0.3754,0.5105,1.448,0.7375,"['Pfle', '##chter']",0.3754,0.2517,0.1556,0.0664,0.1509,nonce,ter,36833.0,4.566248883763941
32,Cherpak,s,0.0474,0.0711,0.8057,0.0046999999999999,0.0711,1.0383334380719562,2.2669684486666437,0.5528141287586572,1.0,0.0,0.0,0.0,0.0,0,-0.0,0.0,1.0,Cherpak,s,0.6661,0.8696,1.7017,1.4752,0.735,"['Cher', '##pak']",0.0116,0.8696,0.1105,0.0052,0.0031,Cherpak,s,0.6114,0.9029,2.114,2.2093,0.5469,"['Cher', '##pa', '##k']",0.0071,0.9029,0.0186,0.0131,0.0583,nonce,pak,2.0,0.47712125471966244
33,Kniempe,n,0.1674,0.7720999999999999,0.0512,0.0093,0.0,1.0020565330004343,1.581317047249693,0.5684377413724154,0.0024691358024691,0.9975308641975308,0.0,0.0,0.0,n,0.024944914977604,0.1846408104639045,0.989256809876012,Kniempe,0,0.0003,1.0,0.0047,2.7341,0.4459,"['K', '##niem', '##pe']",0.0,0.0,0.0,0.0,1.0,Kniempe,0,0.0,1.0,0.0,1.59,0.7243,"['Knie', '##mp', '##e']",0.0,0.0,0.0,0.0,1.0,nonce,mpe,405.0,2.6085260335771943
34,Pommeng,n,0.125,0.2917,0.2917,0.0231,0.2685,2.0468769421307207,0.4272625561237027,0.1184580837633494,0.0,0.7395543175487466,0.2520891364902507,0.0013927576601671,0.0069637883008356,n,0.8861751577596768,0.8340648878734683,0.6183451332059162,Pommeng,n,1.7303,0.5868,1.516,1.7532,0.6761,"['Po', '##mmen', '##g']",0.5868,0.0479,0.105,0.0724,0.1879,Pommeng,0,0.6817,0.8824,1.9942,2.0918,0.5678,"['Po', '##mmen', '##g']",0.0063,0.0624,0.0465,0.0025,0.8824,nonce,eng,718.0,2.8567288903828825
35,Sampa,s,0.0892,0.1972,0.7089,0.0046999999999999,0.0,1.1611243649626612,1.273864155807506,0.4999309550027268,1.0,0.0,0.0,0.0,0.0,0,-0.0,0.0,1.0,Sampa,e,0.8529,0.8605,2.521,1.6914,0.6736,"['Sam', '##pa']",0.0211,0.0506,0.8605,0.034,0.0338,Sampa,s,0.9868,0.7458,1.4135,1.7002,0.6871,"['Sam', '##pa']",0.0138,0.7458,0.225,0.0132,0.0021,nonce,mpa,3.0,0.6020599913279624
36,Fliffel,0,0.7465,0.1751,0.0783,0.0,0.0,1.0427608533020387,1.209191826123103,0.5509073448062036,0.6032285471537808,0.3933729821580289,0.0,0.0,0.0033984706881903,0,0.9972508024319522,0.2675431084231526,0.5705074568726776,Fliffel,n,2.0974,0.4174,0.6407,1.5873,0.6982,"['Fl', '##iff', '##el']",0.4174,0.1156,0.0927,0.1484,0.2259,Fliffel,s,1.3567,0.7326,2.2993,1.7942,0.6725,"['Fl', '##iffe', '##l']",0.0709,0.7326,0.0651,0.0921,0.0393,nonce,fel,1177.0,3.0711452904510828
37,Deipfer,0,0.7824,0.1574,0.0602,0.0,0.0,0.9409063060390092,1.3221640894004654,0.5947737106455688,0.7281780902167545,0.247510251903925,0.0005858230814294,0.0,0.023725834797891,0,0.9661834535818096,0.9820987699431272,0.5838874357439223,Deipfer,n,1.2669,0.7236,1.9442,1.8165,0.657,"['Dei', '##pfer']",0.7236,0.0896,0.1509,0.024,0.0119,Deipfer,e,1.6681,0.3862,0.4736,1.5203,0.7298,"['Dei', '##pfer']",0.2306,0.3629,0.3862,0.0193,0.0009,nonce,fer,3414.0,3.5333907080175515
38,Istrat,e,0.0138,0.129,0.1659,0.0,0.6912,1.2646480025609188,1.3640103608070049,0.4553457510826718,0.0023677979479084,0.2734806629834254,0.7067876874506709,0.0027624309392265,0.0146014206787687,e,0.9985652504727164,1.0594920201369615,0.569941354914715,Istrat,n,1.4754,0.6809,1.9356,1.7806,0.652,"['Ist', '##rat']",0.6809,0.126,0.0896,0.0188,0.0847,Istrat,s,1.9109,0.397,0.7609,2.3786,0.5078,"['Ist', '##rat']",0.0508,0.397,0.3084,0.0345,0.2092,nonce,rat,2534.0,3.403977963669355
39,Virong,e,0.0833,0.1435,0.3704,0.0,0.4028,1.7597457585914773,0.5536135125897298,0.2421187536055704,0.0,0.0,0.0063694267515923,0.0,0.9936305732484076,s,0.0556223658183098,0.3359172922444732,0.9760447509374712,Virong,s,1.3557,0.5817,1.0277,2.2426,0.5757,"['Vir', '##ong']",0.3259,0.5817,0.0823,0.0057,0.0045,Virong,e,1.2832,0.6148,0.9142,2.2856,0.5431,"['Vir', '##ong']",0.0845,0.2974,0.6148,0.0026,0.0008,nonce,ong,628.0,2.798650645445269
40,Nofte,n,0.2903,0.6498,0.0507,0.0092,0.0,1.2024731938604372,1.0889161416007909,0.4821229836926669,0.4350927246790299,0.5634807417974322,0.0,0.0,0.0014265335235378,n,1.0021751277227635,0.1361964534287839,0.5683866654055971,Nofte,n,2.0175,0.3458,0.62,2.337,0.5547,"['No', '##fte']",0.3458,0.2321,0.3062,0.0599,0.0559,Nofte,r,1.9596,0.3473,0.31,2.0141,0.6343,"['No', '##fte']",0.1558,0.2025,0.2912,0.3473,0.0033,nonce,fte,701.0,2.846337112129805
41,Brolck,e,0.0694,0.162,0.3657,0.0093,0.3935,1.8154861142072851,0.7550889471466866,0.2181126891031672,0.5,0.5,0.0,0.0,0.0,0,1.0,0.0,0.5693234419266069,Brolck,0,1.1641,0.6425,1.1171,2.4275,0.5284,"['Bro', '##lc', '##k']",0.3175,0.0277,0.0016,0.0107,0.6425,Brolck,0,0.2253,0.9725,1.2361,1.831,0.6536,"['Bro', '##lc', '##k']",0.0021,0.0136,0.0098,0.0019,0.9725,nonce,lck,2.0,0.47712125471966244
